ds,y
1/6/12,5.3
2/6/12,5.3
3/6/12,5.2
4/6/12,5.3
5/6/12,5.4
6/6/12,5.5
7/6/12,5.6
8/6/12,5.6
9/6/12,5.6
10/6/12,5.5
11/6/12,5.6
12/6/12,5.7
13/6/12,5.9
14/6/12,5.9
15/6/12,6.5
16/6/12,6.4
17/6/12,6.2
18/6/12,6.3
19/6/12,6.5
20/6/12,6.7
21/6/12,6.7
22/6/12,6.6
23/6/12,6.4
24/6/12,6.3
25/6/12,6.3
26/6/12,6.4
27/6/12,6.7
28/6/12,6.6
29/6/12,6.7
30/6/12,6.7
1/7/12,6.6
2/7/12,6.8
3/7/12,6.4
4/7/12,6.5
5/7/12,6.7
6/7/12,6.7
7/7/12,6.8
8/7/12,6.8
9/7/12,7
10/7/12,7.2
11/7/12,7.2
12/7/12,7.8
13/7/12,7.7
14/7/12,7.5
15/7/12,7.6
16/7/12,8.5
17/7/12,8.8
18/7/12,9.1
19/7/12,8.9
20/7/12,8.5
21/7/12,8.9
22/7/12,8.4
23/7/12,8.4
24/7/12,8.6
25/7/12,8.8
26/7/12,8.9
27/7/12,8.9
28/7/12,8.9
29/7/12,8.7
30/7/12,9.1
31/7/12,9.4
1/8/12,9.6
2/8/12,10.5
3/8/12,11
4/8/12,11
5/8/12,10.9
6/8/12,10.9
7/8/12,11.1
8/8/12,11.1
9/8/12,11.1
10/8/12,11.4
11/8/12,11.5
12/8/12,11.6
13/8/12,12
14/8/12,12.2
15/8/12,13.3
16/8/12,13.5
17/8/12,11.6
18/8/12,11.6
19/8/12,8
20/8/12,10.1
21/8/12,9.9
22/8/12,9.8
23/8/12,10.1
24/8/12,10.6
25/8/12,10.5
26/8/12,10.6
27/8/12,10.9
28/8/12,10.9
29/8/12,10.9
30/8/12,10.8
31/8/12,10.2
1/9/12,10
2/9/12,10.2
3/9/12,10.5
4/9/12,10.4
5/9/12,11
6/9/12,11.2
7/9/12,11
8/9/12,11
9/9/12,11
10/9/12,11.2
11/9/12,11.3
12/9/12,11.4
13/9/12,11.4
14/9/12,11.7
15/9/12,11.8
16/9/12,11.9
17/9/12,11.9
18/9/12,12.3
19/9/12,12.6
20/9/12,12.3
21/9/12,12.4
22/9/12,12.2
23/9/12,12.2
24/9/12,12.1
25/9/12,12.2
26/9/12,12.3
27/9/12,12.3
28/9/12,12.4
29/9/12,12.4
30/9/12,12.4
1/10/12,12.4
2/10/12,12.8
3/10/12,12.9
4/10/12,12.9
5/10/12,12.7
6/10/12,12.5
7/10/12,11.8
8/10/12,11.8
9/10/12,11.9
10/10/12,12.1
11/10/12,12
